experiment_name,experiment_group,gallery_protocol,method_name,method_type,member_set,n_members,mAP,rank1,best_single_mAP,gain_vs_best_single,oracle_mAP,oracle_rank1,oracle_gap_mAP
eva_miew_convnext_miewheavy_globalminmax_sq,kaggle_ensemble,trainval_gallery,EVA-02,single,EVA-02+MiewID+ConvNeXt-V2,3,0.7379296724024818,0.9451219512195121,0.7379296724024818,0.0,0.8584399007974456,0.9634146341463414,0.12051022839496384
eva_miew_convnext_miewheavy_globalminmax_sq,kaggle_ensemble,trainval_gallery,MiewID,single,EVA-02+MiewID+ConvNeXt-V2,3,0.7042509937183561,0.8902439024390244,0.7379296724024818,-0.03367867868412566,0.8584399007974456,0.9634146341463414,0.1541889070790895
eva_miew_convnext_miewheavy_globalminmax_sq,kaggle_ensemble,trainval_gallery,ConvNeXt-V2,single,EVA-02+MiewID+ConvNeXt-V2,3,0.7226419537766873,0.9085365853658537,0.7379296724024818,-0.015287718625794477,0.8584399007974456,0.9634146341463414,0.13579794702075831
eva_miew_convnext_miewheavy_globalminmax_sq,kaggle_ensemble,trainval_gallery,score_fusion,fusion,EVA-02+MiewID+ConvNeXt-V2,3,0.8448138937803802,0.9634146341463414,0.7379296724024818,0.10688422137789844,0.8584399007974456,0.9634146341463414,0.0136260070170654
eva_miew_convnext_miewheavy_globalminmax_sq,kaggle_ensemble,trainval_gallery,embedding_concat,fusion,EVA-02+MiewID+ConvNeXt-V2,3,0.8164249226896556,0.9542682926829268,0.7379296724024818,0.07849525028717386,0.8584399007974456,0.9634146341463414,0.04201497810778998
eva_miew_convnext_miewheavy_globalminmax_sq,kaggle_ensemble,trainval_gallery,adaptive_margin_top5,fusion,EVA-02+MiewID+ConvNeXt-V2,3,0.8140060777819783,0.9420731707317073,0.7379296724024818,0.07607640537949656,0.8584399007974456,0.9634146341463414,0.04443382301546728
eva_miew_convnext_miewheavy_globalminmax_sq,kaggle_ensemble,trainval_gallery,rrf_k60,fusion,EVA-02+MiewID+ConvNeXt-V2,3,0.8296159450076784,0.9573170731707317,0.7379296724024818,0.09168627260519668,0.8584399007974456,0.9634146341463414,0.028823955789767153
eva_miew_convnext_miewheavy_globalminmax_sq,kaggle_ensemble,trainval_gallery,oracle,oracle,EVA-02+MiewID+ConvNeXt-V2,3,0.8584399007974456,0.9634146341463414,0.7379296724024818,0.12051022839496384,0.8584399007974456,0.9634146341463414,0.0
